"","validated_id","current_symbol"
"754","FBgn0020372","TM4SF"
"755","FBgn0020381","Dredd"
"756","FBgn0020385","pug"
"757","FBgn0020386","Pdk1"
"758","FBgn0020388","Gcn5"
"759","FBgn0020414","Idgf3"
"760","FBgn0020415","Idgf2"
"761","FBgn0020416","Idgf1"
"762","FBgn0020429","GluRIIB"
"763","FBgn0020440","Fak"
"764","FBgn0020443","eRF3"
"765","FBgn0020445","E23"
"766","FBgn0020496","CtBP"
"767","FBgn0020513","Paics"
"768","FBgn0020521","pio"
"769","FBgn0020545","kraken"
"770","FBgn0020618","Rack1"
"771","FBgn0020621","Pkn"
"772","FBgn0020637","Lcp65Ag2"
"773","FBgn0020653","Trxr1"
"774","FBgn0020660","eIF4B"
"775","FBgn0020762","Atet"
"776","FBgn0020907","Scp2"
"777","FBgn0020908","Scp1"
"778","FBgn0020909","Rtc1"
"779","FBgn0020910","RpL3"
"780","FBgn0020930","Dgkε"
"781","FBgn0021761","Nup154"
"782","FBgn0021764","sdk"
"783","FBgn0021765","scu"
"784","FBgn0021795","Tapδ"
"785","FBgn0021814","Vps28"
"786","FBgn0021847","Ttc7"
"787","FBgn0021856","l(2)k14505"
"788","FBgn0021872","Xbp1"
"789","FBgn0021874","Nle"
"790","FBgn0021895","ytr"
"791","FBgn0021979","l(2)k09913"
"792","FBgn0021995","Rs1"
"793","FBgn0022027","Vps25"
"794","FBgn0022029","l(2)k01209"
"795","FBgn0022097","Vha36-1"
"796","FBgn0022153","l(2)k05819"
"797","FBgn0022213","Cse1"
"798","FBgn0022288","l(2)09851"
"799","FBgn0022343","CG3760"
"800","FBgn0022344","CG10340"
"801","FBgn0022355","Tsf1"
"802","FBgn0022361","Pur-α"
"803","FBgn0022382","Pka-R2"
"804","FBgn0022709","Ak1"
"805","FBgn0022710","Ac13E"
"806","FBgn0022770","Peritrophin-A"
"807","FBgn0022787","Hel89B"
"808","FBgn0022893","Df31"
"809","FBgn0022960","vimar"
"810","FBgn0022984","qkr58E-3"
"811","FBgn0022986","qkr58E-1"
"812","FBgn0022987","qkr54B"
"813","FBgn0023000","mth"
"814","FBgn0023001","melt"
"815","FBgn0023076","Clk"
"816","FBgn0023081","gek"
"817","FBgn0023129","aay"
"818","FBgn0023143","Uba1"
"819","FBgn0023170","RpL39"
"820","FBgn0023172","RhoGEF2"
"821","FBgn0023175","Prosα7"
"822","FBgn0023178","Pdf"
