,validated_id,current_symbol,Official_ID,First_Author,Year,PMID,website_address
130,FBgn0000246,c(3)G,LinearUp-8,Bajgiran,2021,34632013,https://pubmed.ncbi.nlm.nih.gov/34632013/
131,FBgn0033554,Lsm10,LinearUp-1,Bajgiran,2021,34632013,https://pubmed.ncbi.nlm.nih.gov/34632013/
132,FBgn0033555,RpS15Ab,Complex-6,Bajgiran,2021,34632013,https://pubmed.ncbi.nlm.nih.gov/34632013/
133,FBgn0027547,CG1927,Complex-10,Bajgiran,2021,34632013,https://pubmed.ncbi.nlm.nih.gov/34632013/
134,FBgn0000250,cact,LinearUp-5,Bajgiran,2021,34632013,https://pubmed.ncbi.nlm.nih.gov/34632013/
135,FBgn0027553,NELF-B,LinearUp-3,Bajgiran,2021,34632013,https://pubmed.ncbi.nlm.nih.gov/34632013/
136,FBgn0000253,Cam,LinearDown-6,Bajgiran,2021,34632013,https://pubmed.ncbi.nlm.nih.gov/34632013/
137,FBgn0000256,capu,LinearDown-4,Bajgiran,2021,34632013,https://pubmed.ncbi.nlm.nih.gov/34632013/
138,FBgn0038087,beat-Va,LinearDown-3,Bajgiran,2021,34632013,https://pubmed.ncbi.nlm.nih.gov/34632013/
139,FBgn0033564,Pex6,LinearDown-3,Bajgiran,2021,34632013,https://pubmed.ncbi.nlm.nih.gov/34632013/
140,FBgn0000259,CkIIβ,LinearDown-5,Bajgiran,2021,34632013,https://pubmed.ncbi.nlm.nih.gov/34632013/
141,FBgn0085354,CG34325,LinearUp-1,Bajgiran,2021,34632013,https://pubmed.ncbi.nlm.nih.gov/34632013/
142,FBgn0000261,Cat,LinearUp-2,Bajgiran,2021,34632013,https://pubmed.ncbi.nlm.nih.gov/34632013/
143,FBgn0033570,ND-B14,LinearDown-6,Bajgiran,2021,34632013,https://pubmed.ncbi.nlm.nih.gov/34632013/
144,FBgn0038088,CG10126,LinearUp-8,Bajgiran,2021,34632013,https://pubmed.ncbi.nlm.nih.gov/34632013/
145,FBgn0027561,CG18659,LinearUp-5,Bajgiran,2021,34632013,https://pubmed.ncbi.nlm.nih.gov/34632013/
146,FBgn0038092,beat-Vb,LinearDown-6,Bajgiran,2021,34632013,https://pubmed.ncbi.nlm.nih.gov/34632013/
147,FBgn0000276,CecA1,LinearUp-5,Bajgiran,2021,34632013,https://pubmed.ncbi.nlm.nih.gov/34632013/
148,FBgn0050022,CG30022,LinearUp-5,Bajgiran,2021,34632013,https://pubmed.ncbi.nlm.nih.gov/34632013/
149,FBgn0085360,CG34331,Complex-11,Bajgiran,2021,34632013,https://pubmed.ncbi.nlm.nih.gov/34632013/
150,FBgn0027562,CG10345,LinearDown-5,Bajgiran,2021,34632013,https://pubmed.ncbi.nlm.nih.gov/34632013/
151,FBgn0033574,Spn47C,LinearUp-8,Bajgiran,2021,34632013,https://pubmed.ncbi.nlm.nih.gov/34632013/
152,FBgn0038115,CG7966,Complex-10,Bajgiran,2021,34632013,https://pubmed.ncbi.nlm.nih.gov/34632013/
153,FBgn0000277,CecA2,LinearUp-8,Bajgiran,2021,34632013,https://pubmed.ncbi.nlm.nih.gov/34632013/
154,FBgn0027563,CG9631,LinearUp-5,Bajgiran,2021,34632013,https://pubmed.ncbi.nlm.nih.gov/34632013/
155,FBgn0033579,CG13229,LinearDown-6,Bajgiran,2021,34632013,https://pubmed.ncbi.nlm.nih.gov/34632013/
156,FBgn0039478,Nep5,LinearUp-8,Bajgiran,2021,34632013,https://pubmed.ncbi.nlm.nih.gov/34632013/
